base,modelo,feature,nativa,permutation,permutation_std,tipo,disponibilidade,coef_padronizado,vip
delhi_temperatura,PLS,delta_nivel,,0.001598634212924388,0.007802701129573992,interna,-,-0.11431231452234945,0.2809033392100974
delhi_temperatura,PLS,mes,,0.04226201766383726,0.01909154676118082,interna,-,-0.2852518514778787,0.4390468823792447
delhi_temperatura,PLS,dia_semana,,0.002332715490970072,0.0015585800138713628,interna,-,-0.05760738736724689,0.0429539436697857
delhi_temperatura,PLS,semana,,0.030647968784087088,0.014807414048571757,interna,-,-0.24197417199137558,0.454381082872691
delhi_temperatura,PLS,mes_sin,,0.0028351648382390683,0.0023942606109912347,interna,-,0.04088996918547023,0.6114276923424077
delhi_temperatura,PLS,mes_cos,,0.21010061712351558,0.03662149187803006,interna,-,-0.8714313060871022,1.3523425943374208
delhi_temperatura,PLS,dia_semana_sin,,0.0016385359343132678,0.0018946236655781436,interna,-,0.04970824662170411,0.03808846083607984
delhi_temperatura,PLS,dia_semana_cos,,-0.0018208483750769666,0.0035598914882563754,interna,-,0.06826301513229334,0.04369011733573059
delhi_temperatura,PLS,semana_sin,,0.011005286974068529,0.010053458493364637,interna,-,0.17357998350331527,0.4622859467891185
delhi_temperatura,PLS,semana_cos,,0.208329257475144,0.03185147245871561,interna,-,-0.8444767999731817,1.4198657825103076
delhi_temperatura,PLS,humidity_lag_7,,0.000384184304016344,0.01714465797514125,externa,defasada,-0.4311621703675567,0.8482542727813658
delhi_temperatura,PLS,wind_speed_lag_7,,-0.006066741897977712,0.008890411551451444,externa,defasada,0.1762136887106845,0.49680474779729183
delhi_temperatura,PLS,meanpressure_lag_7,,0.01658852047311097,0.018955942559258223,externa,defasada,-0.48130187063651797,1.3350622205560512
pilgrims_close,Random Forest,lag_5,0.14129219222141334,0.7973417572522099,0.016058027617980378,interna,-,,
pilgrims_close,Random Forest,lag_6,0.153547439851743,0.5903226842864691,0.012899028955094642,interna,-,,
pilgrims_close,Random Forest,lag_7,0.061564961216525674,0.20680556398453667,0.007819039757046632,interna,-,,
pilgrims_close,Random Forest,lag_8,0.04508264302706842,0.1016871840204239,0.005467271540838392,interna,-,,
pilgrims_close,Random Forest,media_4,0.1537757382486608,0.6837867033143993,0.012833794898107622,interna,-,,
pilgrims_close,Random Forest,desvio_4,0.000897622370923237,-0.001115993890373268,0.0002968070649807286,interna,-,,
pilgrims_close,Random Forest,media_8,0.11319265233737794,0.3914623932623596,0.009854948497007729,interna,-,,
pilgrims_close,Random Forest,desvio_8,0.009179992315744902,0.0028211718118333453,0.0005267356190780359,interna,-,,
pilgrims_close,Random Forest,media_12,0.10313853796962898,0.34717100185982036,0.009697295703522133,interna,-,,
pilgrims_close,Random Forest,desvio_12,0.012844435622222592,0.0017344414555984678,0.0003789164135511407,interna,-,,
pilgrims_close,Random Forest,delta_nivel,0.0005715014269425047,0.00024636976059416726,0.0003870767761149789,interna,-,,
pilgrims_close,Random Forest,mes,0.0008078893212123449,-0.0001678372215228485,0.0013088271760313976,interna,-,,
pilgrims_close,Random Forest,dia_semana,7.364761766077064e-06,-0.00012769236831240428,0.00013600663641331147,interna,-,,
pilgrims_close,Random Forest,semana,0.0008052373001900432,-0.0032478544789346754,0.00146474497951925,interna,-,,
pilgrims_close,Random Forest,mes_sin,0.0007263287590525966,0.002353951668427501,0.0010619703130201167,interna,-,,
pilgrims_close,Random Forest,mes_cos,0.0002139719499899768,-0.0009598279312389324,0.0005515498209357383,interna,-,,
pilgrims_close,Random Forest,dia_semana_sin,3.274276058142912e-06,-6.227375550964531e-05,9.403973994477165e-05,interna,-,,
pilgrims_close,Random Forest,dia_semana_cos,9.92543511204612e-07,-5.189425710012685e-05,2.3155174736402483e-05,interna,-,,
pilgrims_close,Random Forest,semana_sin,0.00036458071948430203,0.0005087161423794507,0.0018150488371607907,interna,-,,
pilgrims_close,Random Forest,semana_cos,0.00040473472852439475,-0.005424718839751375,0.0008811402256391686,interna,-,,
