params,aic,bic
"{'order': (0, 1, 1), 'seasonal_order': (2, 0, 0, 30)}",2370.753879053536,2400.1763625990434
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 2, 30)}",2370.862198902454,2405.1673135507704
"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 2, 30)}",2371.5317300559154,2405.8438905025114
"{'order': (1, 1, 1), 'seasonal_order': (2, 0, 0, 30)}",2372.6386332036345,2406.9578323637447
"{'order': (0, 1, 1), 'seasonal_order': (2, 0, 1, 30)}",2372.755868955424,2407.082099758516
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 2, 30)}",2372.870720914746,2407.182881361342
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 0, 30)}",2373.574295279016,2407.900526082108
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 2, 30)}",2372.5663419628427,2411.772187275204
"{'order': (0, 1, 2), 'seasonal_order': (1, 0, 2, 30)}",2372.8358861318175,2412.041731444179
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 0, 30)}",2373.7627718550007,2412.9847137522693
"{'order': (0, 1, 1), 'seasonal_order': (2, 0, 2, 30)}",2373.9533079381417,2413.167205591394
"{'order': (2, 1, 1), 'seasonal_order': (2, 0, 0, 30)}",2374.4467218329487,2413.660619486201
"{'order': (1, 1, 1), 'seasonal_order': (2, 0, 1, 30)}",2374.6339600863253,2413.855901983594
"{'order': (1, 1, 1), 'seasonal_order': (1, 0, 2, 30)}",2374.793742681575,2414.0076403348276
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 1, 30)}",2375.572971101892,2414.802949162569
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 2, 30)}",2376.1487825164336,2415.362680169686
"{'order': (2, 1, 0), 'seasonal_order': (2, 0, 0, 30)}",2381.1552720322907,2415.4674324788866
"{'order': (2, 1, 2), 'seasonal_order': (2, 0, 0, 30)}",2374.181121223972,2418.296756083881
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 2, 30)}",2374.4476014659713,2418.5541774423777
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 2, 30)}",2384.237310649308,2418.556509809418
"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 2, 30)}",2374.534746043404,2418.6413220198106
"{'order': (0, 1, 2), 'seasonal_order': (2, 0, 2, 30)}",2375.3175097801354,2419.424085756542
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 1, 30)}",2375.760255107079,2419.8849397415065
"{'order': (2, 1, 1), 'seasonal_order': (2, 0, 1, 30)}",2376.4427562113788,2420.558391071288
"{'order': (1, 1, 1), 'seasonal_order': (2, 0, 2, 30)}",2377.257335494656,2421.3729703545655
"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 2, 30)}",2378.068661855403,2422.1842967153125
"{'order': (2, 1, 0), 'seasonal_order': (2, 0, 1, 30)}",2383.1475664932077,2422.36146414646
"{'order': (2, 1, 2), 'seasonal_order': (2, 0, 1, 30)}",2376.1790467625433,2425.196418829109
"{'order': (2, 1, 0), 'seasonal_order': (1, 0, 2, 30)}",2386.175628575474,2425.3975704727427
"{'order': (2, 1, 2), 'seasonal_order': (1, 0, 2, 30)}",2376.4164196312804,2425.423726271732
"{'order': (1, 1, 2), 'seasonal_order': (2, 0, 2, 30)}",2377.01220305473,2426.0195096951816
"{'order': (2, 1, 1), 'seasonal_order': (2, 0, 2, 30)}",2380.6456755512254,2429.663047617791
"{'order': (2, 1, 0), 'seasonal_order': (2, 0, 2, 30)}",2387.313194537278,2431.428829397187
"{'order': (2, 1, 2), 'seasonal_order': (2, 0, 2, 30)}",2378.8937917097646,2432.8018290142613
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 1, 30)}",2411.878799097256,2436.536158125253
"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 30)}",2415.1515375219174,2439.818652650571
"{'order': (1, 1, 0), 'seasonal_order': (2, 0, 0, 30)}",2412.618498262285,2442.0349546852362
"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 1, 30)}",2413.2830131269284,2442.871843960525
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 1, 30)}",2413.3377448454567,2442.9207134411663
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 2, 30)}",2413.604921994694,2443.0213784176453
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 1, 30)}",2415.2549738627367,2444.8438046963333
"{'order': (1, 1, 1), 'seasonal_order': (1, 0, 0, 30)}",2416.2889264082296,2445.8836137576645
"{'order': (0, 1, 2), 'seasonal_order': (1, 0, 0, 30)}",2417.9755955204873,2447.5761336748715
"{'order': (1, 1, 0), 'seasonal_order': (2, 0, 1, 30)}",2414.5948921288227,2448.914091288933
"{'order': (0, 1, 2), 'seasonal_order': (1, 0, 1, 30)}",2414.7158009336044,2449.2292642952657
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 1, 30)}",2415.011911197603,2449.525374559264
"{'order': (1, 1, 0), 'seasonal_order': (1, 0, 2, 30)}",2415.5935757871093,2449.9127749472195
"{'order': (1, 1, 1), 'seasonal_order': (1, 0, 1, 30)}",2416.642838503479,2451.163141142675
"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 0, 30)}",2417.3994153215053,2451.926550562513
"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 0, 30)}",2418.0664804449043,2452.5867830841003
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 1, 30)}",2418.571601082755,2453.091903721951
"{'order': (2, 1, 0), 'seasonal_order': (1, 0, 0, 30)}",2425.06124586599,2454.6500766995864
"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 1, 30)}",2416.3934902342985,2455.8374483619114
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 1, 30)}",2416.8908812840173,2456.33483941163
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 1, 30)}",2427.3159585401463,2456.9106458895812
"{'order': (2, 1, 2), 'seasonal_order': (1, 0, 0, 30)}",2417.6696051002878,2457.1213795450835
"{'order': (1, 1, 0), 'seasonal_order': (2, 0, 2, 30)}",2418.192857987217,2457.4147998844855
"{'order': (2, 1, 1), 'seasonal_order': (1, 0, 1, 30)}",2420.032915836657,2459.484690281453
"{'order': (2, 1, 0), 'seasonal_order': (1, 0, 1, 30)}",2426.989962457274,2461.51026509647
"{'order': (2, 1, 2), 'seasonal_order': (1, 0, 1, 30)}",2418.2727412875383,2462.647194181103
"{'order': (1, 1, 0), 'seasonal_order': (1, 0, 0, 30)}",2457.273757452006,2481.9359969098687
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 1, 30)}",2457.7930478224944,2482.455287280357
"{'order': (1, 1, 0), 'seasonal_order': (1, 0, 1, 30)}",2459.129153823266,2488.7238411727008
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 0, 30)}",2474.5603391030545,2494.4017300194596
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 0, 30)}",2475.4709009254143,2500.267893486084
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 0, 30)}",2477.195731127279,2501.9974697727857
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 0, 30)}",2477.1934405303273,2506.9498316031313
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 30)}",2480.4232803136692,2510.185366688277
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 0, 30)}",2486.3193197068217,2511.1210583523284
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 0, 30)}",2479.099635717602,2513.8154253025396
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 0, 30)}",2518.6813211755557,2538.5265053591966
"{'order': (0, 1, 0), 'seasonal_order': (2, 0, 0, 30)}",2596.661224703389,2621.179960991312
"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 2, 30)}",2596.9176159563344,2621.4313296421274
"{'order': (0, 1, 0), 'seasonal_order': (1, 0, 2, 30)}",2598.777088578281,2628.1935450012325
"{'order': (0, 1, 0), 'seasonal_order': (2, 0, 1, 30)}",2598.928102882313,2628.3505864278204
"{'order': (0, 1, 0), 'seasonal_order': (2, 0, 2, 30)}",2600.851521226357,2635.170720386467
"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 1, 30)}",2646.500996595075,2666.230788161365
"{'order': (0, 1, 0), 'seasonal_order': (1, 0, 0, 30)}",2646.5492281808774,2666.2829202838
"{'order': (0, 1, 0), 'seasonal_order': (1, 0, 1, 30)}",2647.626122570054,2672.2883620279167
"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 30)}",8530.371820507335,8545.258550900133
"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 0, 30)}",9003.925136943566,9018.809025081297
