params,aic,bic
"{'order': (2, 0, 1), 'seasonal_order': (1, 0, 0, 4)}",373.0772913913587,388.81675808570424
"{'order': (2, 0, 2), 'seasonal_order': (2, 0, 1, 4)}",367.072615131148,388.96916255141224
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 2, 4)}",372.62361621543,390.1408541516414
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 2, 4)}",374.9932270148178,390.4260753505546
"{'order': (1, 0, 2), 'seasonal_order': (2, 0, 1, 4)}",371.1402599615462,390.98249353606485
"{'order': (0, 0, 0), 'seasonal_order': (1, 0, 1, 4)}",379.88270299439307,391.19610237959967
"{'order': (0, 0, 2), 'seasonal_order': (2, 0, 1, 4)}",374.1517117807901,391.90777342219894
"{'order': (0, 0, 2), 'seasonal_order': (1, 0, 1, 4)}",376.48263039360353,392.1213759257843
"{'order': (2, 0, 0), 'seasonal_order': (1, 0, 2, 4)}",375.25664581174334,392.8941867668711
"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 1, 4)}",378.0849754148507,393.7237209470315
"{'order': (0, 0, 1), 'seasonal_order': (1, 0, 1, 4)}",380.39338259174434,393.8843540440405
"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 0, 4)}",386.98356567660124,393.89576095621373
"{'order': (0, 0, 2), 'seasonal_order': (0, 0, 1, 4)}",380.58833376255865,393.9929727901422
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 0, 4)}",386.2799795876559,395.49623996047256
"{'order': (1, 0, 2), 'seasonal_order': (1, 0, 1, 4)}",378.0524767694818,395.92532880625987
"{'order': (0, 0, 1), 'seasonal_order': (0, 0, 1, 4)}",384.69252591988055,395.9350021301274
"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 2, 4)}",383.9804802817759,397.2086359981217
"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 2, 4)}",386.8033697068251,397.8268328037799
"{'order': (1, 0, 1), 'seasonal_order': (1, 0, 1, 4)}",382.286664531382,398.0261312257275
"{'order': (2, 0, 2), 'seasonal_order': (1, 0, 1, 4)}",379.46981179998767,399.576770341363
"{'order': (1, 0, 1), 'seasonal_order': (0, 0, 1, 4)}",386.69115350635195,400.1821249586481
"{'order': (2, 0, 0), 'seasonal_order': (1, 0, 0, 4)}",387.23969675059806,400.7306682028942
"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 1, 4)}",384.03428528778005,401.9071373245581
"{'order': (1, 0, 1), 'seasonal_order': (1, 0, 0, 4)}",389.48366939792237,403.05974866017027
"{'order': (2, 0, 0), 'seasonal_order': (1, 0, 1, 4)}",388.4850012543761,404.2244679487216
"{'order': (0, 0, 1), 'seasonal_order': (1, 0, 0, 4)}",393.3386964122021,404.7220270072824
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 1, 4)}",389.6807535247434,405.42022021908895
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 1, 4)}",391.9284291721654,405.5045084344133
"{'order': (1, 0, 2), 'seasonal_order': (1, 0, 0, 4)}",390.57271669415434,406.41147583344355
"{'order': (2, 0, 2), 'seasonal_order': (1, 0, 0, 4)}",388.5363184284118,406.52428036480666
"{'order': (0, 0, 0), 'seasonal_order': (1, 0, 0, 4)}",398.9220826306656,408.02874710672984
"{'order': (0, 0, 2), 'seasonal_order': (1, 0, 0, 4)}",395.3030440094501,408.96304072354644
"{'order': (0, 0, 2), 'seasonal_order': (0, 0, 0, 4)}",400.2563748692597,411.70867207500163
"{'order': (0, 0, 1), 'seasonal_order': (0, 0, 0, 4)}",402.9457983668822,412.16205873969886
"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 0, 4)}",401.4239235701814,412.737322955388
"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 1, 4)}",401.64830100834587,412.96170039355246
"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 0, 4)}",402.1065425089107,415.8492991558011
"{'order': (1, 0, 1), 'seasonal_order': (0, 0, 0, 4)}",404.6768767260644,416.19720219208523
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 0, 4)}",404.83380698022944,416.3541324462503
"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 1, 4)}",407.8827539812342,416.9334734893995
"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 0, 4)}",401.62087983836165,417.6540959264004
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 0, 4)}",407.0045826698368,420.82897322906183
"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 0, 4)}",419.91865022493374,429.188602679079
"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 4)}",429.0915377632286,436.0440021038375
