params,aic,bic,mae_validacao,bic_norm,mae_norm,criterio,valor,base,modelo
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 0, 0)}",726.9812494262246,767.9486972040961,inf,0.00508782225428321,,BIC+MAE normalizados,,pilgrims_close,SARIMAX
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 0, 0)}",727.4187758793219,775.214131620172,inf,0.00708882636350691,,BIC+MAE normalizados,,pilgrims_close,SARIMAX
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 0, 0)}",4254.265970769327,4295.2351773043565,inf,0.9765527528952723,,BIC+MAE normalizados,,pilgrims_close,SARIMAX
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 0, 0)}",4346.228647740717,4380.369653186574,inf,1.0,,BIC+MAE normalizados,,pilgrims_close,SARIMAX
"{'trend': 'add', 'seasonal': None, 'damped': True}",,,,,,MAE validacao,inf,pilgrims_close,Holt-Winters
"{'trend': 'add', 'seasonal': None, 'damped': False}",,,,,,MAE validacao,inf,pilgrims_close,Holt-Winters
"{'trend': None, 'seasonal': None, 'damped': False}",,,,,,MAE validacao,inf,pilgrims_close,Holt-Winters
"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,0.4989153921224571,pilgrims_close,Random Forest
"{'n_estimators': 600, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,0.5004265253061275,pilgrims_close,Random Forest
"{'n_estimators': 300, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,0.5009804324760975,pilgrims_close,Random Forest
"{'n_estimators': 300, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 1}",,,,,,MAE validacao,0.5014138749141924,pilgrims_close,Random Forest
"{'n_estimators': 600, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,0.5039184275751335,pilgrims_close,Random Forest
"{'n_estimators': 600, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_split': 2, 'min_samples_leaf': 2}",,,,,,MAE validacao,0.5061705934145482,pilgrims_close,Random Forest
"{'n_estimators': 600, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 1}",,,,,,MAE validacao,0.5065565472809662,pilgrims_close,Random Forest
"{'n_estimators': 600, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_split': 5, 'min_samples_leaf': 2}",,,,,,MAE validacao,0.509658846838083,pilgrims_close,Random Forest
