params,aic,bic
"{'order': (1, 0, 1), 'seasonal_order': (1, 0, 0, 30)}",4085.937988258936,4120.778957650351
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 1, 30)}",4086.1710911777927,4121.005527670927
"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 1, 30)}",4087.226695647187,4122.054593139379
"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 30)}",4092.6142166354816,4122.477904685266
"{'order': (1, 0, 1), 'seasonal_order': (1, 0, 1, 30)}",4083.2700543317096,4123.080838895292
"{'order': (2, 1, 0), 'seasonal_order': (1, 0, 1, 30)}",4084.196836935624,4124.000148355271
"{'order': (2, 0, 0), 'seasonal_order': (1, 0, 0, 30)}",4091.0400212726418,4125.874457765776
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 1, 30)}",4092.8714512869574,4127.712420678373
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 1, 30)}",4098.865746665865,4128.723835088552
"{'order': (1, 1, 0), 'seasonal_order': (1, 0, 0, 30)}",4099.684884481554,4129.542972904241
"{'order': (2, 0, 0), 'seasonal_order': (1, 0, 1, 30)}",4091.219362871687,4131.030147435269
"{'order': (1, 1, 0), 'seasonal_order': (1, 0, 1, 30)}",4100.029917009486,4134.86435350262
"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 1, 30)}",4114.5880112025125,4144.451699252297
"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 0, 30)}",4115.5564220924025,4145.420110142187
"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 1, 30)}",4124.24287885495,4149.1246192071885
"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 1, 30)}",4115.885863378269,4150.726832769685
"{'order': (0, 1, 0), 'seasonal_order': (1, 0, 0, 30)}",4127.885740527041,4152.772147235195
"{'order': (0, 1, 0), 'seasonal_order': (1, 0, 1, 30)}",4125.31202640269,4155.170114825377
"{'order': (1, 1, 1), 'seasonal_order': (0, 0, 0, 30)}",4183.352596518429,4213.370989271148
"{'order': (1, 1, 2), 'seasonal_order': (0, 0, 0, 30)}",4180.259722708324,4215.2748143891495
"{'order': (2, 0, 1), 'seasonal_order': (0, 0, 0, 30)}",4183.54297576813,4218.570794725189
"{'order': (2, 1, 1), 'seasonal_order': (0, 0, 0, 30)}",4184.339588219442,4219.361046430947
"{'order': (2, 1, 2), 'seasonal_order': (0, 0, 0, 30)}",4179.6054592490145,4219.622706884244
"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 0, 30)}",4181.333207102223,4221.3577307725145
"{'order': (0, 1, 2), 'seasonal_order': (0, 0, 0, 30)}",4196.144234559273,4226.1571702856945
"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 0, 30)}",4194.332463267715,4229.35392147922
"{'order': (1, 0, 1), 'seasonal_order': (0, 0, 0, 30)}",4212.439966577486,4242.463811397823
"{'order': (0, 1, 1), 'seasonal_order': (0, 0, 0, 30)}",4217.533118105474,4242.548445399407
"{'order': (2, 1, 0), 'seasonal_order': (0, 0, 0, 30)}",4217.894223571601,4247.91261632432
"{'order': (2, 0, 0), 'seasonal_order': (0, 0, 0, 30)}",4221.12016216044,4251.144006980776
"{'order': (1, 1, 0), 'seasonal_order': (0, 0, 0, 30)}",4230.68450619313,4255.7043768767435
"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 0, 30)}",4254.158672442348,4279.183082390912
"{'order': (0, 1, 0), 'seasonal_order': (0, 0, 0, 30)}",4261.410225388943,4281.426121935834
"{'order': (0, 0, 2), 'seasonal_order': (2, 0, 2, 30)}",4625.45693106287,4674.9266909842245
"{'order': (0, 0, 2), 'seasonal_order': (2, 0, 1, 30)}",4645.200789232308,4689.749497327315
"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 2, 30)}",4725.467075607743,4769.998509225277
"{'order': (0, 0, 2), 'seasonal_order': (1, 0, 2, 30)}",4810.456630664656,4854.979414593874
"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 1, 30)}",4888.2280555066245,4927.826907146631
"{'order': (0, 0, 2), 'seasonal_order': (2, 0, 0, 30)}",4906.49420902762,4946.093060667627
"{'order': (0, 0, 2), 'seasonal_order': (0, 0, 2, 30)}",4931.417565286583,4970.993373223667
"{'order': (0, 0, 2), 'seasonal_order': (1, 0, 1, 30)}",5045.1302992785595,5084.933610698207
"{'order': (0, 0, 2), 'seasonal_order': (1, 0, 0, 30)}",5069.510203898423,5104.357700096838
"{'order': (0, 0, 2), 'seasonal_order': (0, 0, 1, 30)}",5190.574422091106,5225.402319583297
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 2, 30)}",5205.113116753712,5244.704294532219
"{'order': (0, 0, 1), 'seasonal_order': (1, 0, 2, 30)}",5222.281646132218,5261.8651426811375
"{'order': (0, 0, 1), 'seasonal_order': (2, 0, 0, 30)}",5246.121389010309,5280.770384195314
"{'order': (0, 0, 1), 'seasonal_order': (1, 0, 1, 30)}",5277.5225750129375,5312.357011506072
"{'order': (0, 0, 1), 'seasonal_order': (0, 0, 2, 30)}",5320.241658274684,5354.877217754988
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 1, 30)}",5365.394698812675,5400.043693997681
"{'order': (0, 0, 1), 'seasonal_order': (1, 0, 0, 30)}",5476.951650024839,5506.820932480623
"{'order': (0, 0, 2), 'seasonal_order': (0, 0, 0, 30)}",5659.81899720253,5689.837389955249
"{'order': (0, 0, 1), 'seasonal_order': (0, 0, 1, 30)}",5666.704586808213,5696.5626752309
"{'order': (0, 0, 0), 'seasonal_order': (2, 0, 0, 30)}",5811.408162781988,5841.107301511993
"{'order': (0, 0, 0), 'seasonal_order': (1, 0, 2, 30)}",5845.276942135179,5879.919222691372
"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 2, 30)}",6011.172782327064,6040.866165660944
"{'order': (0, 0, 0), 'seasonal_order': (1, 0, 1, 30)}",6095.942010652814,6125.805698702598
"{'order': (0, 0, 0), 'seasonal_order': (1, 0, 0, 30)}",6202.103333119586,6226.99440183274
"{'order': (0, 0, 1), 'seasonal_order': (0, 0, 0, 30)}",6309.867168105784,6334.887038789398
"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 1, 30)}",6469.584659694149,6494.471066402303
"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 30)}",7223.362106560904,7243.381634519756
