Date,target_open,close_lag_1,volume_lag_1
2016-11-29,60.65,60.61,20732619
2016-11-30,60.86,61.09,22366721
2016-12-01,60.11,60.26,34655435
2016-12-02,59.08,59.2,34542121
2016-12-05,59.7,59.25,25515665
2016-12-06,60.43,60.22,23552658
2016-12-07,60.01,59.95,19907035
2016-12-08,61.3,61.37,30808969
2016-12-09,61.18,61.01,21220753
2016-12-12,61.82,61.97,27349356
2016-12-13,62.5,62.17,20198081
2016-12-14,63.0,62.98,35718868
2016-12-15,62.7,62.68,30352654
2016-12-16,62.95,62.58,27669868
2016-12-19,62.56,62.3,42453083
2016-12-20,63.69,63.62,34338219
2016-12-21,63.43,63.54,26028379
2016-12-22,63.84,63.54,17096304
2016-12-23,63.45,63.55,22176585
2016-12-27,63.21,63.24,12403819
2016-12-28,63.4,63.28,11763173
2016-12-29,62.86,62.99,14653348
2016-12-30,62.96,62.9,10250582
2017-01-03,62.79,62.14,25579908
2017-01-04,62.48,62.58,20694101
2017-01-05,62.19,62.3,21339969
2017-01-06,62.3,62.3,24875968
2017-01-09,62.76,62.84,19922919
2017-01-10,62.73,62.64,20382730
2017-01-11,62.61,62.62,18593004
2017-01-12,63.06,63.19,21517335
2017-01-13,62.62,62.61,20968223
2017-01-17,62.68,62.7,19422310
2017-01-18,62.67,62.53,20663983
2017-01-19,62.24,62.5,19670102
2017-01-20,62.67,62.3,18451655
2017-01-23,62.7,62.74,30213462
2017-01-24,63.2,62.96,23097581
2017-01-25,63.95,63.52,24672940
2017-01-26,64.12,63.68,24654933
2017-01-27,65.39,64.27,43554645
2017-01-30,65.69,65.78,44817972
2017-01-31,64.86,65.13,31651445
2017-02-01,64.36,64.65,25270549
2017-02-02,63.25,63.58,39671528
2017-02-03,63.5,63.17,45827013
2017-02-06,63.5,63.68,30301759
2017-02-07,63.74,63.64,19796360
2017-02-08,63.57,63.43,20277226
2017-02-09,63.52,63.34,18096358
2017-02-10,64.25,64.06,22644443
2017-02-13,64.24,64.0,18170729
2017-02-14,64.41,64.72,22920101
2017-02-15,64.5,64.57,23108426
2017-02-16,64.74,64.53,17005157
2017-02-17,64.47,64.52,20546345
2017-02-21,64.61,64.62,21248818
2017-02-22,64.33,64.49,20655869
2017-02-23,64.42,64.36,19292651
2017-02-24,64.53,64.62,20273128
2017-02-27,64.54,64.62,21796800
2017-02-28,64.08,64.23,15871507
2017-03-01,64.13,63.98,23239825
2017-03-02,64.69,64.94,26937459
2017-03-03,63.99,64.01,24539597
2017-03-06,63.97,64.25,18139405
2017-03-07,64.19,64.27,18750255
2017-03-08,64.26,64.4,18520987
2017-03-09,65.19,64.99,21510907
2017-03-10,65.11,64.73,19846832
2017-03-13,65.14,64.93,19538245
2017-03-14,64.53,64.71,20100035
2017-03-15,64.55,64.41,14280202
2017-03-16,64.75,64.75,24833810
2017-03-17,64.91,64.64,20674296
2017-03-20,64.91,64.87,49219686
2017-03-21,65.19,64.93,14598083
2017-03-22,64.12,64.21,26640480
2017-03-23,64.94,65.03,20680015
2017-03-24,65.12,64.87,19269203
2017-03-27,64.63,64.98,22617105
2017-03-28,64.96,65.1,18614662
2017-03-29,65.12,65.29,20080358
2017-03-30,65.42,65.47,13618424
2017-03-31,65.65,65.71,15122823
2017-04-03,65.81,65.86,21040331
2017-04-04,65.39,65.55,20400871
2017-04-05,66.3,65.73,12997449
2017-04-06,65.6,65.56,21448594
2017-04-07,65.85,65.73,18103453
2017-04-10,65.61,65.68,14108533
2017-04-11,65.6,65.53,17952742
2017-04-12,65.42,65.48,18791533
2017-04-13,65.29,65.23,17108513
2017-04-17,65.04,64.95,17896483
2017-04-18,65.33,65.48,16689265
2017-04-19,65.65,65.39,15155611
2017-04-20,65.46,65.04,26992771
2017-04-21,65.67,65.5,22299477
2017-04-24,67.48,66.4,32522645
2017-04-25,67.9,67.53,29769976
2017-04-26,68.08,67.92,30242730
2017-04-27,68.15,67.83,26190770
2017-04-28,68.91,68.27,34970953
2017-05-01,68.68,68.46,39548818
2017-05-02,69.71,69.41,31954362
2017-05-03,69.38,69.3,23906119
2017-05-04,69.03,69.08,28927973
2017-05-05,68.9,68.81,21749409
2017-05-08,68.97,69.0,19128782
2017-05-09,68.86,68.94,18566087
2017-05-10,68.99,69.04,22858414
2017-05-11,68.36,69.31,17977830
2017-05-12,68.61,68.46,28789413
2017-05-15,68.14,68.38,18714123
2017-05-16,68.23,68.43,31530301
2017-05-17,68.89,69.41,34956038
2017-05-18,67.4,67.48,30548781
2017-05-19,67.5,67.71,25201274
2017-05-22,67.89,67.69,26961119
2017-05-23,68.72,68.45,16237550
2017-05-24,68.87,68.68,15425824
2017-05-25,68.97,68.77,14666865
2017-05-26,69.8,69.62,21854095
2017-05-30,69.79,69.96,19827923
2017-05-31,70.53,70.41,17072838
2017-06-01,70.24,69.84,30436364
2017-06-02,70.44,70.1,21603601
2017-06-05,71.97,71.76,34770261
2017-06-06,72.3,72.28,33316760
2017-06-07,72.64,72.52,31511065
2017-06-08,72.51,72.39,22301765
2017-06-09,72.04,71.95,24588270
2017-06-12,69.25,70.32,49187396
2017-06-13,70.02,69.78,47761743
2017-06-14,70.91,70.65,25258614
2017-06-15,69.27,70.27,25510685
2017-06-16,69.73,69.9,26068709
2017-06-19,70.5,70.0,48345085
2017-06-20,70.82,70.87,23798268
2017-06-21,70.21,69.91,21512231
2017-06-22,70.54,70.27,19891051
2017-06-23,70.09,70.26,22965738
2017-06-26,71.4,71.21,27617291
2017-06-27,70.11,70.53,19606974
2017-06-28,69.21,69.21,25215128
2017-06-29,69.38,69.8,25806200
2017-06-30,68.78,68.49,28918715
